review	sentiment
выглядит дешево,рукава в обтяжку,а на картинке свободные,учитывая что я худее модели на фото продавца	negative
Товар так и не пришел, продавец дал левый трек который отслеживался - что его давно получили в другом городе, когда я ему написала сказал что все прийдет, но ничего так и не пришло. Обман	negative
пятно не отстирать и на самом видном месте	negative
"очень не довольна!совсем не то ч
то на фото и не такая как в отзывах!увидела бы в магазине не взяла бы ни за что!"	negative
Ужасное платье. Тонкая прозрачная синтетика самого низкого качества. Продавец очень долго отправлял заказ, отправил в последний день назначенного срока! Несколько раз пыталась по этой причине отменить заказ, но продавец говорил, мол, уже отправил. Качество, повторяю, ужасно, носить не буду, висит мешком. И цвет вообще не соответствует картинке.	negative
На все ногу стрела,очень не довольна 	negative
Это не платье не стоит и 200 рублей. Кружево просто обрезано не обработано, подклад ужасный пришит как то и где то-выбросить и забыть	negative
Продавец кормил завтраками и уверял, что посылка пришла. Итог: на сообщения не отвечает, трек не отлеживался изначально, деньги возвращать отказывался. Спасибо али за разумное решение спора и деньги вернут. Не заказывайте у этого продавца, он настоящий мошенник, вор и врун! 	negative
Размер брала l чтобы было свободно.В итоге все обтягивает и еще короткое для роста 170 . Не такое как на картинке	negative
"НЕ СВЯЗЫВАЙТЕСЬ НАРОД С ЭТИМ +ПРОДАВЦОМ, ЭТО ПРОСТО МОШЕННИК!!!
ДЕНЬГИ СНЯЛИ, НИ НА ОДНО МОЁ СМС НЕ ОТВЕТИЛИ-ПОЛНЫЙ ИГНОР С ИХ СТОРОНЫ, СООТВЕТСТВЕННО НИКАКИХ ДЕНЕГ МНЕ НЕ ВЕРНУЛИ, А У МЕНЯ БРИЛЛИАНТОВЫЙ УРОВЕНЬ- это ускоренный возврат и обработка споров!"	negative
ТОВАР ОЧЕНЬ ПОХОЖ НА КАРТИНКУ. НО СИНТЕТИКА НА 100%, И ОЧЕНЬ КОРОТКИЙ	negative
Воняет, ткань гавно, короткие	negative
Пальто не довольна. Крой абсолютно не соответствует модели, поэтому она не сидит, как нужно, просто весит мешком. На фото представлен оригинальный итальянский пуховик. Воротник на пуговицах, по краям вообще не держится! Необходимо отдавать в профессиональную мастерскую, чтобы вещь доводили до ума. Не рекомендую эту модель для стройных, она не будет сидит должным образом.	negative
Я ожидала другого, качество плохое, на них оказалась дырка и я сразу их выбросила, вторые были получше.	negative
Модель интересная,но качество ожидает желать лучшего. Не стоит своих денег(на рынке китайском висят по 600 руб. И ждать не нужно.	negative
"Очень красиво описываете ,но мне не подошло не по размеру я в него просто не влезла хоть и худенькая, стройная .
Отдала ребенку 12 лет и на эту костявую худышку еле натянули и не до конца.У девочке платье вечернего нет в незастегнутом состояние она решила оставить себе.Но если так и в следущий раз будет отправлю вам плохо описываете размеры и нет качество матеряла это очень плохо !!! 
 Доставка 800 рублей,писали 1166,92.
Очень давольна за быструю доставку огромное спасибо."	negative
Качество отвратительное	negative
Товар не пришел, деньги вернули только через спор	negative
шорты не пришли .	negative
Я не получила товар вообще!	negative
продавец не прислал заказ и деньги не вернули не рекомендую этого продавца	negative
тонкая ткань. пошив кошмар. впереди сборит, .короткие. еще и мега клеши ко всему!! в общем даже на дачу стыдно..)..	negative
Заказывала все согласно размеру , пришло S как на маленького ребёнка! Может М была бы как раз , а так рукав 3/4 , короткая до пупка. Хотя к меня 42-44! Незнаю деньги на ветер по поему! Короче ткань тоже подкачала швы торчат! Думала на футболку буду одевать.... 	negative
Продавец ужасный ! Футболка не пришла !!! Деньги не вернули !!! Челябинск !!!!!!! Больше не закажу у него ни чего !!!	negative
Совершенно безответно! Отправил не все что я оплатила! Деньги возвращать не хочет! Ещё раз отправить товар отказался! 	negative
Товар не пришел, деньги вернули. 	negative
Неудачно подобрана картинка в качестве описания товара! На самом деле джинсы по фасону широкие в талии и больше подойдут девушкам невысокого роста с широкими бедрами.  По составу очень добротные - преобладает хлопок, но и эластана достаточно, что бы коленки сразу не вытягивались. Цвет насыщенно черный.  Размерная сетка неточная на размер, а учитывая свободу кроя в талии и в бедрах даже на два. Я брала по размерной сетке на 44 (российский), а оказались на 48 размер. Продавцом довольна! Спасибо за Вашу работу!	negative
Трек отслеживался. На мой 48 размер- XL маловат. Мне не уютно, хочется по длинее и свободней. Кофточка хорошего качества, Рукава как раз, не короткие. После стирки не села . Состава не бв	negative
Не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте	negative
Майка не отслуживалась и я Ее не получила в итоге мне вернули деньги	negative
качество очень плохое.  непонятно из чего сделано	negative
За 3 месяца ничего так и не пришло. Худший продавец!!!!	negative
Воротник криво пришит, было обидно поскольку отзывы были хорошие.	negative
Размер не подошёл , заказывала ХL, очень огромный на мой вес 50 кг	negative
сначала обрадовалась, что вроде и отзывы плохие, а продавец исправился, стал высылать епакетом. выслать то он выслал, только в другой город! долго препирались, говорил что нужно подождать! чего подождать, пока майка сама ко мне придёт?!) в общем, отзывы плохие-это походу правда	negative
Продавец выслал подделку отвратительного качества. Когда открыла спор и попросила вернуть часть денег в виде компенсации, то деньги продавец не вернул, не подал ни звука, ни сообщения. Ноль реакции. Ни в коем случае с ним нельзя работать.	negative
Ужасное качество, такое ощущение, что тряпку положили 	negative
синтетика галимая, за такие деньги можно было и из хлопка сшить. цвет намного темнее, чем должен быть	negative
Жаль, товар так и не пришёл .Но продавец сразу вернул денежку . За это ставлю 5	negative
"Размер не соответствует.
На рост 168, размер 42-44 взяла М. оказалось мало. Присутствует посторонний запах."	negative
Изначально знала о плохом качестве вышивки по отзывам, но рукава просто  добили... Спор открыть не смогла фото и видео не загрузились.	negative
ворот большой кривенькая косенькая гасить не буду не советую брать эту вещь ....	negative
майка классная,но исполнение очень хромает. все розы с зацепками,сеточка на которой пришиты розы сбоку разорвалась и будет рваться дальше. я очень расстроена. такую вещь даже не оденешь,сбоку в сетке уже видна дыра и нитки распускаются.	negative
товар пришёл с браком. Продавец отказался  идти на контакт.Открыла спор. Продавца не рекомендую, лучше заказать у других	negative
Продавец очень долго не отправлял товар, открыла спор, чтобы вернули деньги. Спор закрыли, ни товара, ни денег. Продавца не советую	negative
соответствует только цвет,ткань не шифон,плотная очень, вырез горловины очень узкий,доставка быстрая.	negative
"Качество ужасное. Шов от  подмышки до бедра всего 20 см при размере 2XL. На фигуру нормальных пропорций это  не надевается.   Зато пригодно для толстого карлика.

В ширину боди болтается, а в длину не натягивается. Продавец путает цвета."	negative
Товар не прислали, открыла спор , сказали вернуть им платье. Я попросила, пришлите мне его, что я верну, если его нет. Спор закрыли, потому что я не вернула платье , которое они мне не прислали. На контакт не идут, говорят своё. Деньги не возвращают и товар не присылают. Продавца ооочень не рекомендую, развод.	negative
Начиталась я отзывов,и ждала эту кофту очень сильно!Но меня огорчила эта кофта,во первых она с затяжками и на ней коричневое пятно,во вторых колючая(терпеть не могу такое) и в третьих,посылка шла очень долго!	negative
прислали грязную блузку	negative
качество отвратительное .через несколько дней пополз по швам	negative
посылка не пришла вовсе,деньги вернуть отказались,спор закрыли	negative
"Вообще не понравился, во первых отличается
 от картинки и цвет и фасон и качество,швы очень толстые,поэтому на плечах и по бокам
 топорщится, в общем только в деревне носить, где тебя ни кто не видит. PS всем,кто больше 42 не рекомендую брать)увеличивает настолько фигуру, ужас"	negative
Заказ шел больше месяца с платной доставкой СДЕК. Сначала уточнили адрес, потом перезвонили и сказали, что только в пункте выдачи можно получить! Ближайший пункт оказался гораздо дальше почты, что меня не устраивает совсем. Теперь о самой кофте... Качество ужасное! Сестра заказывала точно такую же, но качество в разы лучше. Эта же блестящая голимая синтетика. Цвет совпадает с картинкой и это наверно единственный плюс.	negative
товар не пришел.продавец просил ждать бесконечно. деньги вернули при помощи али.	negative
Не пришло.	negative
Продавцом не довольна.Товар не пришел,деньги вернули.Ждала 50 дней,но продавец лишь увеличивал дни доставки.На открытие спора по истечении 50дней отреагировал негативно.Не советую!	negative
Не очень довольна покупкой. Сидит на мне она плохо, выкройка рукавов сделана не точно-начало рукава не под мышкой, а ниже сантиметров на 5,в связи с этим скованность движений рук в этой блузке. На 50-52 размер заказала XXXL.	negative
Выбирала резинки peanut, пришли другие. я не довольна.	negative
не пришел пакет. Потерянное время.. вернул деньги только при открытии спора.	negative
Очень огорчило...заказали размер L а привезли  XL очень обидно 	negative
Заказ пришёл быстро. Качество кошмарное:ткань очень дешёвая,сшито безобразно, где-то не прошито,где-то перетянуто, кнопка с дефектом,размер S я думаю подойдет девушкам которые носят L...Открыла спор,заказом не довольна. Не рекомендую. 	negative
Доставка отвратительная, шло полтора месяца, продавец не может дать вразумительные ответы на то, где моя вещь, но сама жилетка пойдет, мех лезет, внизу шкурки очень плохие 	negative
вообще не соответствует заявленому фото! во первых горловина-ее нет на модели!и  как по мне она портит свитерочек. во вторых -вязка! посмотрите на модели она легкая,почти просвечивает,а на деле плотная вязка,объемная я сказала бы. Вообще свитерок планировала летом носить,так как по заявленому фото он кажется легким,а на деле жаркий.Продавец охотно стал общаться со мной когда я  открыла спор 17.08,сегодня 04.09,возврата денежных средств так и не поступило. Что это?обман? не советую свитер. Он не соответствует заявленному фото. Разницу я думаю вы и сами видете.  Подкачал конечно заказ,впервые за столько лет заказов я столкнулась с таким..	negative
"Пуховик захотела сразу. Модель очень понравилась. Долго разбиралась с размером, общалась с продавцом. Продавец отвечал наобум, до последнего сомневалась. У меня объем груди 105, объем бедер 116 если мерить правильно по выпуклым точкам, а не просто охватить сантиметром вокруг бедер. Сомневалась между 48 и 50 размером. В жизни ношу 46-48 российский. Продавец советовал 52!!!!! Хорошо что не послушала. На указанные объемы пуховик сел очень хорошо. Длина при росте 173 чуть ниже колена. НО!!!!! имейте в виду что модель внизу широкая, очень свободно в бедрах. Продавец позиционирует пуховик для температуры -20. Не верьте!!!!! Ему -10 максимум. Мне пришел товар с браком!!!! В плечах рукава ""пустые"". Одела при температуре -2, руки замёрзли хотя под пуховиком была флиска!!!! Капюшон тоже неудобный, слишком широкий, для ветренной погоды не годится!! Объявила спор. Али отказали в компенсации. Имейте в виду проблемы данной модели. Продавец отвратительный!!! больше никогда к нему не обращусь!!!!"	negative
Расстроена что присылают такое 	negative
ткань очень тонкая, страшно одеть, вдруг разойдется, не тратьте деньги, лучше купить чуть дороже в магазине чем выкидывать 700р на ветер.На улицу в таком костюме точно не выйдешь	negative
Качество не хорошее	negative
Брал рубашку для мамы, размер выбирал xxxxxl(5xl), пришла рубашка размера xs. Даже жене моей малая, она носит 42 размер.	negative
Так и не дождалась заказа...Через 2 месяца ожидания открыла спор на полный возврат денежных средств...	negative
Посылку ждала , но так и не дождалась. Из заявленных 14 дней прождала 35...В итоге открыла спор и благодаря помощи Алиэкспресс продавец вернул мне деньги, хотя изначально не хотел их возвращать. Больше заказывать у него никогда не буду!!!   ПШЛНХ узколазые!!!!!	negative
"фасон и цвет не соотвецтвуют   это очень плохо
плохой продавец"	negative
Размер отправили не тот. Деньги отказались возвращать!!! Рейтинг говорит сам за себя. НЕ ПОКУПАЙТЕ НИЧЕГО У ЭТОГО ПРОДАВЦА	negative
"К сожалению, свой заказ я так и не получила. Доставка СДЭК постоянно морочила голову, постоянно переносила сроки доставки, и в итоге, пока я ждала курьеров, которые так и не приехали, прошел срок подтверждения заказа. Получилось, что я и без денег осталась, и без джинсов. Не знаю, что случилось, возможно служба СДЭК просто потеряла мой заказ, потому что кормили меня ""завтраками"" больше трех недель и в итоге так ничего и не доставили. Я бы посоветовала продавцу найти другую, более ответственную службу доставки. Очень обидно, что так получилось. Больше в этом магазине заказывать ничего не буду."	negative
Продавец общительный, но товар не пришёл, деньги вернули	negative
Товар не пришел , продавец без проблем вернул деньги	negative
Продавец - мошенник. Дает чужие трек-номера. The seller lies and gives other people's tracking numbers. Не связывайтесь с ним, не покупайте товары со скидкой за монеты! Это обман! I had very bad experience with this shop! Choose other seller if you don't want problems!	negative
Заказ спустя 2 месяца так и не пришел. По отслеживанию он только успел вылететь из Китая. Я очень ждала это платье. Больше всего, что не понравилось, это то, что заказ закрыли без моего ведома; ни спор открыть, ни деньги вернуть. очень расстроилась((((	negative
очень долгая доставка. торчат нитки, неприятный запах. на правом плече дырка	negative
ЦВЕТ ЗАКАЗЫВАЛА РОЗОВЫЙ,НО ОН НЕ РОЗОВЫЙ А НА БЕЛЫЙ ЦВЕТ.И ДЫРОЧКА НА СЗАДИ.ФАБРИЧНЫЙ БРАК.	negative
не денег не товара, лето прошло а я так и не дождалась заказа.	negative
Так и не пришли 	negative
заказала платье белого цвета,пришел вообще какой-то ужас,в три размера больше ожидаемого, расцветка ужасная вообще не та модель.. Очень расстроена!!! Ждала около двух месяцев и разочаровалась.	negative
Заказ не был получен. Деньги так же не были возвращены.	negative
Китайцы !!! Такие уроды !!!! В последнее время офигели совсем !!!  Ничего не высылают , хамят в смс и деньги не отправляют 	negative
отсутствует меховой воротник.наверно забыли положить	negative
товар заказывала в июле уже декабрь товар не пришел	negative
Начнем с того, что они пришли черные, а не синте как я заказывала, плюс полное отсутствие обещанного «теплого бархата» и я отдала 960р за лосины которые могла бы приобрести ну руб за 500 максимум...	negative
Посылка не пришла спустя даже 4,5месяца. На Сообщения продавец отвечал только одно - ждите, бывает идёт долго или быстро, ждите. Не дождалась. Заказывала к началу лета. Спасибо.	negative
Кофту неудобно носить, все время подпрыгивает вверх	negative
Товар не пришёл. Заказала в конце мая,так и не дождалась. Продавец просил закрыть спор,ссылаясь на то,что они скоро отправят товар. Но,к сожалению,так и не пришёл. Деньги вернули. 	negative
штаны пришли бракованные, продавец деньги не вернул. выкройка не правильная, в районе карманов лишняя ткань см.3 с обоих сторон. не берите. качество тоже хрень, внутри мех пришит криво, стягивает так, что ногу не согнуть. короче  говно	negative
Шорты пришли большие , хотя заказывала размер S, не довольна!!	negative
шорты не дошли до адреса, товар неотслеживался, вобщем магазином остался не доволен	negative
Бюстгальтера я так и не увидела, посылка не дошла. Открыла спор и написала не нужно возвращать деньги просто пришлите еще раз мой заказаный товар. Продавец просто проигнорировал мое сообщение и молча закрыл спор. Разочарована и конечно же не рекомендую	negative
